iter	Passed	Remaining
408	4512	6520
409	4522	6508
410	4532	6496
411	4543	6484
412	4553	6472
413	4564	6460
414	4575	6450
415	4585	6437
416	4596	6426
417	4607	6415
418	4617	6403
419	4628	6392
420	4641	6383
421	4651	6371
422	4661	6358
423	4672	6347
424	4682	6335
425	4693	6323
426	4708	6318
427	4718	6305
428	4727	6292
429	4738	6280
430	4748	6268
431	4757	6255
432	4767	6242
433	4777	6230
434	4788	6220
435	4798	6206
436	4809	6195
437	4818	6182
438	4828	6170
439	4837	6157
440	4847	6143
441	4856	6130
442	4866	6118
443	4876	6106
444	4885	6093
445	4895	6080
446	4905	6068
447	4915	6057
448	4926	6045
449	4936	6033
450	4947	6022
451	4957	6010
452	4967	5998
453	4976	5985
454	4986	5972
455	4996	5960
456	5005	5947
457	5015	5935
458	5024	5922
459	5035	5910
460	5045	5899
461	5055	5887
462	5065	5874
463	5073	5860
464	5083	5849
465	5094	5837
466	5104	5825
467	5113	5813
468	5123	5801
469	5133	5789
470	5144	5778
471	5154	5766
472	5166	5756
473	5176	5743
474	5185	5731
475	5196	5720
476	5207	5709
477	5216	5697
478	5227	5686
479	5237	5673
480	5248	5663
481	5258	5651
482	5269	5640
483	5280	5629
484	5290	5618
485	5300	5606
486	5310	5594
487	5320	5582
488	5330	5569
489	5339	5557
490	5349	5545
491	5359	5533
492	5368	5521
493	5378	5509
494	5388	5497
495	5398	5485
496	5408	5473
497	5418	5461
498	5430	5451
499	5441	5441
500	5453	5431
501	5463	5420
502	5479	5414
503	5491	5404
504	5502	5393
505	5519	5388
506	5531	5378
507	5543	5368
508	5554	5358
509	5565	5347
510	5577	5337
511	5588	5326
512	5599	5315
513	5611	5306
514	5622	5295
515	5633	5284
516	5647	5275
517	5658	5264
518	5669	5254
519	5683	5246
520	5695	5236
521	5707	5226
522	5721	5218
523	5732	5207
524	5743	5196
525	5759	5190
526	5770	5179
527	5781	5168
528	5795	5159
529	5806	5149
530	5817	5138
531	5829	5127
532	5839	5116
533	5852	5107
534	5864	5097
535	5875	5086
536	5887	5076
537	5898	5065
538	5909	5054
539	5922	5044
540	5934	5035
541	5944	5023
542	5954	5011
543	5965	5000
544	5975	4989
545	5989	4980
546	6000	4969
547	6010	4957
548	6021	4946
549	6031	4935
