iter	Logloss
0	0.6798162426
1	0.6672039171
2	0.6547362918
3	0.6445798275
4	0.6347432067
5	0.6263634442
6	0.6187586927
7	0.6122775749
8	0.6055510217
9	0.5997398986
10	0.5941901972
11	0.5892368603
12	0.584828386
13	0.5809548642
14	0.5773024321
15	0.5739377535
16	0.5709091462
17	0.5681773858
18	0.5656897979
19	0.5632002904
20	0.5608314493
21	0.5587527438
22	0.5571383004
23	0.5556032258
24	0.5532570448
25	0.551184483
26	0.5498257959
27	0.5486626796
28	0.5475419757
29	0.5465097014
30	0.5453826327
31	0.5444908719
32	0.5438000946
33	0.543119209
34	0.5418683571
35	0.5411479426
36	0.5406568425
37	0.5400099221
38	0.539046381
39	0.5385753307
40	0.5382542688
41	0.5378601673
42	0.5375007744
43	0.5369801901
44	0.5363787424
45	0.5360004384
46	0.5356436715
47	0.5353512172
48	0.5348831882
49	0.5345757932
50	0.5344441886
51	0.5342399552
52	0.5334190206
53	0.5331373026
54	0.5327047946
55	0.5323484368
56	0.5319748681
57	0.5315724544
58	0.5311858352
59	0.5310886099
60	0.5307271306
61	0.5304401078
62	0.5300017469
63	0.5296428775
64	0.529372792
65	0.5291844779
66	0.5288581585
67	0.5286288126
68	0.5284786793
69	0.5280852795
70	0.5278077829
71	0.5274284626
72	0.5272250016
73	0.5270813186
74	0.5269592498
75	0.5267655276
76	0.5265289895
77	0.5262382675
78	0.5260373741
79	0.525878747
80	0.5257458133
81	0.5256117578
82	0.5253938454
83	0.5252022699
84	0.5250651689
85	0.5247357774
86	0.5245233487
87	0.5244877213
88	0.5243115595
89	0.5240813558
90	0.5239503718
91	0.5238180146
92	0.523769462
93	0.5235506439
94	0.523467142
95	0.5232957511
96	0.5231232408
97	0.5228246378
98	0.5226170864
99	0.5225390352
100	0.5223124233
101	0.5221610935
102	0.5219465946
103	0.5218424187
104	0.5216985247
105	0.5215305849
106	0.5214428803
107	0.5213291801
108	0.521235021
109	0.5210675611
110	0.5208816604
111	0.5207672596
112	0.520675762
113	0.5205244009
114	0.5204310441
115	0.5202349537
116	0.520065102
117	0.5198857615
118	0.5196769434
119	0.5195644018
120	0.5194271651
121	0.5193567243
122	0.5192599447
123	0.5190842029
124	0.5190379788
125	0.5188770702
126	0.5187600163
127	0.5186376552
128	0.5184723801
129	0.5182926813
130	0.5181845215
131	0.5180385492
132	0.5179814885
133	0.517876895
134	0.5177563523
135	0.5176785493
136	0.5175439328
137	0.5174067125
138	0.5172642464
139	0.5170667619
140	0.5168891468
141	0.5167884963
142	0.5166582526
143	0.5165784831
144	0.5164722809
145	0.5163797453
146	0.516326719
147	0.5161373204
148	0.5159791901
149	0.5158101743
150	0.5157157888
151	0.5156560597
152	0.5155715492
153	0.515491599
154	0.5153820893
155	0.5152931732
156	0.5151846569
157	0.5149142518
158	0.5148170007
159	0.5147246707
160	0.5146236939
161	0.5145566629
162	0.5143515579
163	0.5142894947
164	0.5141356671
165	0.5140278316
166	0.5139266395
167	0.5138601142
168	0.5137598801
169	0.5137044699
170	0.5136376654
171	0.5135142824
172	0.5134386118
173	0.5133662622
174	0.5132839517
175	0.5131297044
176	0.5130254213
177	0.512923523
178	0.5128290861
179	0.5127330668
180	0.5126065608
181	0.5125171048
182	0.5124108039
183	0.5123184023
184	0.5122615349
185	0.5121781272
186	0.5121033728
187	0.5119828208
188	0.511918867
189	0.5117816768
190	0.5117114223
191	0.5116158582
192	0.511557061
193	0.5114541713
194	0.5112401821
195	0.5111452252
196	0.5110079584
197	0.5109267962
198	0.5108300957
199	0.5106821858
200	0.5106033962
201	0.5105132339
202	0.5103687515
203	0.510263888
204	0.5101715204
205	0.5101255194
206	0.5100091335
207	0.5099226911
208	0.509877595
209	0.5097712005
210	0.5096725378
211	0.509607145
212	0.5095264873
213	0.5094428239
214	0.5093398769
215	0.509159271
216	0.5090875229
217	0.5089406135
218	0.5088742276
219	0.5086744761
220	0.5085577137
221	0.5084546676
222	0.5083271858
223	0.5081823416
224	0.5080679482
225	0.507970728
226	0.5078931808
227	0.5078203366
228	0.5077034919
229	0.5076074857
230	0.507524375
231	0.5073877457
232	0.5073215825
233	0.5072543151
234	0.507172896
235	0.5070673543
236	0.5068681702
237	0.506723243
238	0.5066012149
239	0.5065320491
240	0.5064516007
241	0.5063456764
242	0.5062730708
243	0.5062017378
244	0.5060823782
245	0.5059489737
246	0.5058593599
247	0.5057232884
248	0.5056399601
249	0.5055423185
250	0.50549371
251	0.505401186
252	0.5052605541
253	0.5051963506
254	0.5050357451
255	0.5049309566
256	0.5047584747
257	0.5046826784
258	0.504595341
259	0.5045215105
260	0.504440339
261	0.5043372147
262	0.504234848
263	0.504145465
264	0.5040322546
265	0.5039597714
266	0.5038108226
267	0.5037492995
268	0.5035609725
269	0.5034699039
270	0.5033488964
271	0.5032203796
272	0.5031350683
273	0.5030415164
274	0.5029520065
275	0.5028786118
276	0.5028131417
277	0.5027508586
278	0.5026679498
279	0.502550508
280	0.5024356851
281	0.5023608826
282	0.5021917839
283	0.5020999455
284	0.5020228596
285	0.5019424392
286	0.5018824636
287	0.5017767108
288	0.501687577
289	0.5014980925
290	0.5014258864
291	0.5013221448
292	0.5012102726
293	0.5011220048
294	0.5009590569
295	0.5008705178
296	0.5007819184
297	0.5006778771
298	0.5005370401
299	0.5004111042
300	0.5003528674
301	0.5001919866
302	0.5000724719
303	0.4999429326
304	0.4998270521
305	0.4997054683
306	0.4995066984
307	0.499396172
308	0.4993405276
309	0.4991939005
310	0.499112151
311	0.4990179284
312	0.4989374883
313	0.4988184267
314	0.4986795467
315	0.4985817163
316	0.4984686462
317	0.4983642017
318	0.4982751718
319	0.4981709199
320	0.4980900549
321	0.4979710399
322	0.4978699918
323	0.4977623692
324	0.4976854966
325	0.4976093848
326	0.4974803824
327	0.4973917968
328	0.4972744186
329	0.4972057998
330	0.4971009226
331	0.497023208
332	0.4968819101
333	0.4967909427
334	0.4966492673
335	0.4965674145
336	0.4964683834
337	0.4964052936
338	0.496314088
339	0.4962344436
340	0.4961622871
341	0.4960620956
342	0.495935649
343	0.4958401264
344	0.4957518358
345	0.4956825559
346	0.495630343
347	0.495491726
348	0.4954138569
349	0.4953149409
350	0.4952153711
351	0.495146081
352	0.4950603269
353	0.4949478378
354	0.4948613538
355	0.4947710603
356	0.4946973633
357	0.4946125478
358	0.4944798489
359	0.4943823682
360	0.4942529269
361	0.4942051361
362	0.4941355516
363	0.4940393949
364	0.4939365986
365	0.4937936124
366	0.4937066414
367	0.4936051889
368	0.4935195734
369	0.4934269
370	0.4933410586
371	0.4932237836
372	0.4931292293
373	0.4930257169
374	0.4929439293
375	0.4928638484
376	0.492809823
377	0.4927356707
378	0.4926633492
379	0.4925677028
380	0.4924481142
381	0.4923337684
382	0.4922317867
383	0.4921287577
384	0.4920533292
385	0.4919864153
386	0.4918884043
387	0.4917664013
388	0.4916139651
389	0.4915000924
390	0.4914020431
391	0.4912542766
392	0.4911745793
393	0.4910633229
394	0.4909937643
395	0.4908917249
396	0.4907907954
397	0.4906643583
398	0.4905527393
399	0.4904913486
400	0.4903887218
401	0.4903057745
402	0.4902243325
403	0.4901489375
404	0.4900831933
405	0.4900117951
406	0.4899238055
407	0.4898381472
408	0.4897390689
409	0.4896625857
410	0.4896044794
411	0.4895222264
412	0.4894383222
413	0.489346128
414	0.4892664128
415	0.4892016034
416	0.4890386502
417	0.4889725217
418	0.4888940367
419	0.488758913
420	0.4886897456
421	0.4886093844
422	0.4885221651
423	0.4884286464
424	0.4883267636
425	0.4882382633
426	0.4881454311
427	0.4880309464
428	0.4879557953
429	0.4878990393
430	0.4878223949
431	0.4877536911
432	0.4876827778
433	0.4875798373
434	0.4875167868
435	0.4874584773
436	0.4873614466
437	0.487263399
438	0.4872098554
439	0.4871144833
440	0.4869888369
441	0.4868858996
442	0.4868121449
443	0.4867305993
444	0.4866336057
445	0.486552972
446	0.4864603718
447	0.4863502521
448	0.4862600577
449	0.4861689544
450	0.4860641232
451	0.4859700769
452	0.4858781635
453	0.4857896218
454	0.4857252615
455	0.4856402088
456	0.4855275774
457	0.485459747
458	0.4853554331
459	0.4852815613
460	0.4851386904
461	0.4850392708
462	0.4849361567
463	0.4848292031
464	0.4847572586
465	0.4846754987
466	0.4845366682
467	0.4844550491
468	0.484380321
469	0.484269544
470	0.4842141977
471	0.4841424671
472	0.4840805044
473	0.4840018789
474	0.4839251369
475	0.4837935025
476	0.4836889134
477	0.4836172321
478	0.4835328687
479	0.483444141
480	0.4833344573
481	0.4832222495
482	0.4831330711
483	0.4830769299
484	0.4829952595
485	0.4829219325
486	0.4828421898
487	0.4827752168
488	0.4827005437
489	0.4826205292
490	0.4825272637
491	0.4824389382
492	0.4823815454
493	0.4822749049
494	0.4822032666
495	0.4821195117
496	0.4820462907
497	0.481956047
498	0.4818810819
499	0.4818032734
500	0.4817009529
501	0.4816284848
502	0.4815464363
503	0.4814883085
504	0.4814228221
505	0.481323186
506	0.4812400372
507	0.4811549204
508	0.4811028499
509	0.4810274246
510	0.4809607804
511	0.4808577448
